time,rainfall_mm
2026-03-08T00:00,0.0
2026-03-08T01:00,0.0
2026-03-08T02:00,0.0
2026-03-08T03:00,0.0
2026-03-08T04:00,0.0
2026-03-08T05:00,0.0
2026-03-08T06:00,0.0
2026-03-08T07:00,0.0
2026-03-08T08:00,0.0
2026-03-08T09:00,0.0
2026-03-08T10:00,0.0
2026-03-08T11:00,0.0
2026-03-08T12:00,0.0
2026-03-08T13:00,0.0
2026-03-08T14:00,0.0
2026-03-08T15:00,0.1
2026-03-08T16:00,0.5
2026-03-08T17:00,0.2
2026-03-08T18:00,0.1
2026-03-08T19:00,0.3
2026-03-08T20:00,0.4
2026-03-08T21:00,0.5
2026-03-08T22:00,0.3
2026-03-08T23:00,0.0
2026-03-09T00:00,0.0
2026-03-09T01:00,0.0
2026-03-09T02:00,0.1
2026-03-09T03:00,0.1
2026-03-09T04:00,0.0
2026-03-09T05:00,0.0
2026-03-09T06:00,0.0
2026-03-09T07:00,0.0
2026-03-09T08:00,0.0
2026-03-09T09:00,0.0
2026-03-09T10:00,0.0
2026-03-09T11:00,0.0
2026-03-09T12:00,0.0
2026-03-09T13:00,0.0
2026-03-09T14:00,0.0
2026-03-09T15:00,0.1
2026-03-09T16:00,1.0
2026-03-09T17:00,0.9
2026-03-09T18:00,0.7
2026-03-09T19:00,0.7
2026-03-09T20:00,0.4
2026-03-09T21:00,0.0
2026-03-09T22:00,0.0
2026-03-09T23:00,0.0
